CustomersTargeted,Profit
1,357.00661101391756
2,616.9718301093282
3,874.5480979470872
4,1129.9552184331396
5,1375.936200288973
6,1592.9725515440991
7,1808.2422186656418
8,2021.356764248122
9,2233.4359444792335
10,2433.6271926931395
11,2631.3759383577953
12,2824.5683499297297
13,3011.033606104547
14,3197.1608469517687
15,3382.7782792611497
16,3549.1141707487923
17,3704.041354579091
18,3853.90529761511
19,3984.2241601823207
20,4112.5714292155535
21,4218.532788521303
22,4321.479973427998
23,4418.380653052646
24,4509.612688119786
25,4593.458894850248
26,4676.854515697968
27,4758.659707572857
28,4838.834992706377
29,4917.020424300452
30,4992.227710472008
31,5067.199671999688
32,5133.839948506956
33,5184.425078450865
34,5232.597085073317
35,5275.280546154418
36,5316.8008323016375
37,5355.698384470122
38,5391.699083450881
39,5426.576713995384
40,5454.3577891983905
41,5480.095223337402
42,5503.604596834766
43,5522.789361204048
44,5537.203030659981
45,5541.686982317858
46,5540.380955343481
47,5530.273850764759
48,5519.754677568515
49,5506.566196793334
50,5493.246045968161
51,5478.480824367979
52,5462.618930610085
53,5445.574753334116
54,5428.322375470546
55,5410.423568290415
56,5392.30698002305
57,5372.631611131432
58,5347.1928298789935
59,5320.336793516507
60,5292.199032053257
61,5261.159280507404
62,5229.421148915139
63,5195.28128481303
64,5159.157110890099
65,5120.2411501832
66,5080.604487361288
67,5036.339834983858
68,4991.782892150652
69,4944.265371462831
70,4892.207837704718
71,4838.638200122779
72,4782.874763491519
73,4725.178881595084
74,4665.6821784708645
75,4604.1165990859445
76,4538.893312835896
77,4470.084979828816
78,4397.929401959123
79,4321.541758671907
80,4245.0337248164415
81,4164.341349470947
82,4083.264391003351
83,4001.388968264866
84,3919.3633040925133
85,3836.10858270316
86,3751.832383725682
87,3664.6065531977347
88,3576.3235151799568
89,3486.476178731785
90,3396.393348672807
91,3305.122489179878
92,3211.549682998034
93,3113.47118063396
94,3013.4502965755955
95,2913.33544856962
96,2812.9790772349625
97,2711.1338742571857
98,2608.371279676472
99,2503.969881802545
100,2397.0962282984237
101,2288.4961840580104
102,2179.574433391528
103,2070.3275421565136
104,1960.3062099959038
105,1848.8692849282786
106,1736.2094438846793
107,1622.2083601014267
108,1508.0431920545666
109,1391.3203181837669
110,1273.13768169999
111,1153.6201949075196
112,1030.3581865190565
113,906.5347731944264
114,780.4251062398812
115,651.8910215011679
116,522.6828717797948
117,392.92385974133157
118,262.4302590559844
119,131.72358963035362
120,0.9833575108760328
121,-132.3178412703922
122,-268.45234503650966
123,-404.6726171250504
124,-541.4854731434906
125,-678.8638457813038
126,-816.7330935418028
127,-955.159056284188
128,-1093.5918213964862
129,-1236.7560908647224
130,-1380.1389576008987
131,-1524.0113631572644
132,-1669.417844870297
133,-1815.8279116764693
134,-1963.3280381197983
135,-2113.43317768732
136,-2263.561191374071
137,-2414.90813496387
138,-2567.484455360914
139,-2720.6503059415504
140,-2875.5203285413327
141,-3031.1261186277543
142,-3187.1142625579655
143,-3344.325077416017
144,-3501.6473801318607
145,-3658.9759236267255
146,-3816.954006394933
147,-3975.09743200316
148,-4133.497221447012
149,-4292.107416145292
150,-4452.839692968295
151,-4613.648936071794
152,-4776.798359794338
153,-4940.51698284719
154,-5104.519725798605
155,-5268.563638808929
156,-5433.977303300067
157,-5601.9655861389065
158,-5770.543992355573
159,-5939.245474672839
160,-6109.031474547378
161,-6278.930356628319
162,-6449.29479408176
163,-6620.220927939168
164,-6791.549141841896
165,-6963.0495891378305
166,-7134.55182261692
167,-7306.468359060444
168,-7480.241225333962
169,-7654.145893297246
170,-7828.858131930812
171,-8005.084141218704
172,-8182.297984498869
173,-8359.592529051683
174,-8538.155537436285
175,-8717.577885832472
176,-8897.198595125647
177,-9077.449915226069
178,-9258.526227046212
179,-9439.762264475596
180,-9623.135354174969
181,-9806.562199537257
182,-9990.875059173932
183,-10178.918199119445
184,-10368.16413822356
185,-10558.572593616267
186,-10749.463102879556
187,-10940.65278479587
188,-11133.329373620993
189,-11328.067187324075
190,-11523.290228719996
191,-11719.708568307387
